Name,Brand,Color,Fuel,Gearbox,Year,Km,Fuel_consumption,Co2_emission,Doors,Price
Renault Zoé,Renault,Blanc Glacier,Electrique,Automatique,2020,26131,0.0,0,5,11 999
DS DS3,DS,Noir Perla Nera/Blanc Opale,Essence,Manuelle,2017,79128,4.5,107,3,11 999
Renault Clio 4,Renault,Gris Cassiopée,Diesel,Manuelle,2015,68660,3.6,90,5,11 999
Citroën C4 Aircross,Citroën,Gris Titanium,Diesel,Manuelle,2017,122670,4.6,119,5,11 999
Peugeot 308 SW,Peugeot,Noir Perla Nera,Essence,Manuelle,2016,87198,4.8,111,5,11 999
Citroën C3,Citroën,,Essence,Manuelle,2019,46490,,,,11 999
Mercedes CLASSE C BREAK,Mercedes,Gris,Diesel,Automatique,2021,35689,4.6,137,5,35 999
Alfa Romeo Tonale,Alfa,,Diesel,Automatique,2022,15890,,,,31 999
Fiat Scudo,Fiat,Blanc,Diesel,Manuelle,2022,10,7.5,185,5,32 699
Audi Q4 E-TRON,Audi,Gris Galet,Electrique,Automatique,2022,9137,0.0,0,5,38 999
Skoda Octavia Combi,Skoda,Black,Diesel,Automatique,2023,27874,4.6,121,5,32 999
BMW X4,BMW,Alpinweiss,Diesel,Automatique,2018,89285,5.2,136,5,33 499
Audi A6,Audi,Brillantschwarz,Essence,Automatique,2019,59731,8.3,150,5,33 099
Opel Movano,Opel,,Diesel,Manuelle,2022,13,,,,33 799
Peugeot Boxer,Peugeot,Blanc,Diesel,Manuelle,2022,10,9.3,239,5,34 699
Audi A6 Avant,Audi,,Hybride diesel,Automatique,2019,49650,,,,33 899
Renault TRAFIC FOURGON,Renault,Blanc Glacier,Diesel,Automatique,2023,201,N/A,184,4,36 499
Volvo XC90,Volvo,Bleu Magique,Hybride essence rechargeable,Auto...,2016,104374,2.1,49,5,40 299
Tesla MODEL Y,Tesla,Blanc Nacré Multicouches,Electrique,Automatique,2022,21985,0.0,0,5,41 999
Volkswagen ARTEON SHOOTING BRAKE,Volkswagen,Lapiz Blue,Hybride essence rechargeable,Auto...,2021,32200,1.3,27,5,36 499
Tesla MODEL X,Tesla,Bleu Outremer Métallisée,Electrique,Automatique,2017,125482,0.0,0,5,39 699
Volvo V60 Cross Country,Volvo,,Diesel,Automatique,2020,7871,,,,37 499
Tesla MODEL S,Tesla,Azul Oscuro,Electrique,Automatique,2017,92497,0.0,0,5,36 999
Lexus RX,Lexus,Blanc Arctique,Hybride essence,Automatique,2019,27665,5.9,132,5,46 499
Mercedes GLC,Mercedes,Argent Mojave Met,Hybride essence rechargeable,Auto...,2021,43908,2.2,46,5,40 099
Land Rover Range Rover Sport,Land,Gris Corris,Diesel,Automatique,2016,93420,6.9,182,5,39 999
Toyota SUPRA,Toyota,,Essence,Automatique,2020,56232,,,,45 999
Mercedes Classe X,Mercedes,Noir mÃ©tal KABARASCHWARZ,Diesel,Automatique,2018,56369,8,209,5,42 099
Audi Q3 Sportback,Audi,Noir Mythic,Diesel,Automatique,2020,64823,5,133,5,40 099
Audi E-TRON,Audi,Bleu Galaxy,Electrique,Automatique,2019,13322,0.0,0,5,46 499
Audi Q5 SPORTBACK,Audi,,Hybride essence rechargeable,Auto...,2021,42500,,,,54 499
Hyundai Santa Fe,Hyundai,,Hybride essence rechargeable,Auto...,2021,39537,,,,45 099
Volkswagen Touareg,Volkswagen,Gris Silice,Hybride essence rechargeable,Auto...,2021,23920,24.3,63,5,57 999
Peugeot 308 AFFAIRE,Peugeot,Blanc Banquise,Diesel,Manuelle,2018,91365,N/A,94,5,10 499
Citroën C5 Tourer,Citroën,Noir Perla Nera,Diesel,Automatique,2016,115881,4.4,114,5,13 999
DS DS9,DS,Gris Platino,Hybride essence rechargeable,Auto...,2023,1413,1.2,34,4,52 599
Kia Ceed SW,Kia,Gris Acier,Diesel,Manuelle,2019,66370,3.9,99,5,16 999
BMW I4,BMW,Blue,Electrique,Automatique,2022,6185,0.0,0,5,67 999
Fiat TIPO Station Wagon,Fiat,Noir Cinema,Essence,Manuelle,2020,22295,6.7,160,5,13 999
Peugeot 208,Peugeot,Gris Shark,Essence,Manuelle,2017,115641,4.5,104,5,9 499
Citroën C3,Citroën,Gris Aluminium,Essence,Manuelle,2017,79800,4.7,109,5,10 499
Peugeot 3008,Peugeot,Blanc Nacré,Essence,Manuelle,2016,104730,4.9,115,5,12 799
Mercedes CLA Shooting Brake,Mercedes,Noir Cosmos,Essence,Automatique,2020,36121,6.2,175,5,26 999
Volkswagen Golf 7 SW,Volkswagen,Indiumgrau,Diesel,Automatique,2018,123886,4.1,108,5,14 999
Peugeot 308,Peugeot,Blanc Banquise,Essence,Manuelle,2018,103614,4.7,113,5,11 299
Renault Clio 4,Renault,Gris Titanium,Essence,Manuelle,2019,109551,5,113,5,11 299
Renault Clio 5,Renault,Noir Etoile,Essence,Manuelle,2019,115382,5,100,5,11 299
Citroën C3 Aircross,Citroën,Natural White,Essence,Manuelle,2017,87607,5,115,5,11 499
Peugeot 5008,Peugeot,Gris Platinium,Essence,Manuelle,2016,99010,5.4,118,5,14 499
Peugeot 308 SW,Peugeot,Blanc Nacré,Essence,Manuelle,2016,113961,4.6,111,5,11 199
Renault Clio 4,Renault,Ivoire,Essence,Manuelle,2016,102447,5,114,5,10 999
Renault Mégane 4,Renault,Noir Etoile,Essence,Manuelle,2017,74058,5.4,120,5,12 999
Renault Zoé,Renault,Blanc Glacier,Electrique,Automatique,2018,46438,0.0,0,5,8 999
Renault Twingo 3,Renault,Noir Etoile,Essence,Manuelle,2019,90823,5.5,125,5,8 499
Renault Kadjar,Renault,Gris Platine,Essence,Manuelle,2017,94458,6.2,139,5,14 299
Renault Zoé,Renault,Blanc Glacier,Electrique,Automatique,2016,53210,0.0,0,5,8 999
Nissan Qashqai,Nissan,Gris Squale,Essence,Manuelle,2017,95058,5.6,129,5,14 499
